ID,Unnamed: 0,Date,city,race_n_time,Racer,Racer_1,LAST_RACER_SAME_AS_CURRENT_RACER,LAST_RACER_SAME_AS_CURRENT_RACER_BINARY,Yas,Speed_in_Secs,GANYAN_TRANS,GANYAN_TRANS_INT,RANK,AG_Percentage,AG_RANK_AMONG_GROUP,AG_RANKING_Score_Normalized,Ranking_Score_Normalized,First_Position_Percentage,Second_Position_Percentage,Third_Position_Percentage,Fourth_Position_Percentage,TOP_THREE_RACER_PERCENTAGE,RANK_LATEST_1ST,RANK_LATEST_2ND,RANK_LATEST_3RD,RANK_LATEST_4TH,RANK_LATEST_5TH,TOPLAM_RACES,TOPLAM_1ST,TOPLAM_2ND,TOPLAM_3RD,TOPLAM_4TH,BIRINCILIK_PERCENTAGE,IKINCILIK_PERCENTAGE,UCUNCULUK_PERCENTAGE,DORDUNCULUK_PERCENTAGE,SPEED_LATEST_1ST,SPEED_LATEST_2nd,SPEED_LATEST_3rd,SPEED_LATEST_4th,SPEED_LATEST_5th,RANK.1,Ranking_Score_Normalized.1,kosu,kosu_saati,at_yası,at_ana,at_baba,Mevsim,KG,K,DB,SK,SKG,TS,GKR,AP,YP,TGK,ÖG,KGS,SGKR,DS
ATEŞKARA(1) SKG  SK  ,307333,13/06/2019,İzmir,4. Koşu:19:30,H.ŞİMŞEK,H.ŞİMŞEK,True,1,2y d d,69.29,7.35,735,8,9.0,4,69,46,7,7,8,9,22,8.0,,,,,1,0,0,0,0,0,0,0,0,15.8753066820609,,,,,8,46,4,19:30,2,d,d,yaz,0,0,0,1,1,0,0,0,0,0,0,0,0,0
SİRİDERYA(10) KG  SK  ,307334,13/06/2019,İzmir,4. Koşu:19:30,Ç.OK,Ç.OK,True,1,2y d d,68.13,2.05,204,5,21.0,3,76,69,8,8,9,10,25,5.0,,,,,1,0,0,0,0,0,0,0,0,16.14560399236753,,,,,5,69,4,19:30,2,d,d,yaz,1,0,0,1,0,0,0,0,0,0,0,0,0,0
TURBO LOGO(10),307342,13/06/2019,İzmir,2. Koşu:18:30,E.D.ÖKTEN,E.D.ÖKTEN,True,1,4y k k,143.77,65.8,6580,9,,0,100,38,2,1,0,1,3,9.0,13.0,8.0,6.0,9.0,10,0,0,0,0,0,0,0,0,13.91110801975377,12.30693495784875,13.52447930754666,13.18826244642268,13.46378242527601,9,38,2,18:30,4,k,k,yaz,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LADY SMYRNA(6) KG  K  DB  ,307367,13/06/2019,İzmir,1. Koşu:17:45,H.ŞİMŞEK,H.ŞİMŞEK,True,1,2y d d,69.03,14.4,1440,7,,0,100,53,7,7,8,9,22,7.0,,,,,1,0,0,0,0,0,0,0,0,15.93510068086339,,,,,7,53,1,17:45,2,d,d,yaz,1,1,1,0,0,0,0,0,0,0,0,0,0,0
MUAMMERAĞA(11) KG  DB  ,307384,14/06/2019,İstanbul,5. Koşu:19:30,B.AVERBAK,B.AVERBAK,True,1,4y a a,102.12,47.35,4735,19,1.0,17,15,5,7,7,9,10,23,19.0,16.0,11.0,11.0,1.0,14,1,0,0,0,7,0,0,0,13.70936153544849,14.2230650705227,13.72055796935742,13.98498454291182,15.00808127453244,19,5,5,19:30,4,a,a,yaz,1,0,1,0,0,0,0,0,0,0,0,0,0,0
GÜRLEYENHAN(10) K  DB  ,307409,14/06/2019,İstanbul,2. Koşu:17:45,B.KILINÇ,B.KILINÇ,True,1,4y a a,92.29,32.75,3275,8,1.0,9,57,63,11,12,11,10,34,8.0,10.0,9.0,9.0,3.0,14,1,0,2,0,7,0,14,0,14.08603315635497,13.74633431085044,13.06538916194861,13.77681558748278,14.68262932008132,8,63,2,17:45,4,a,a,yaz,0,1,1,0,0,0,0,0,0,0,0,0,0,0
DÖRTKARDEŞLER(3) KG  K  ,307429,14/06/2019,Bursa,1. Koşu:15:00,ÇETİN TAŞ,ÇETİN TAŞ,True,1,3y a e,81.3,19.9,1989,6,,0,100,44,9,11,7,8,27,6.0,9.0,10.0,,,3,0,0,0,0,0,0,0,0,14.76014760147602,14.29252024773702,13.22401481089659,,,6,44,1,15:00,3,a,e,yaz,1,1,0,0,0,0,0,0,0,0,0,0,0,0
POMALİN(1) YP  ,307458,18/06/2019,Kocaeli,2. Koşu:17:45,F.KARAKURT,F.KARAKURT,True,1,4y a k,146.02,2.35,235,5,27.0,2,90,66,9,9,8,10,26,5.0,2.0,4.0,2.0,2.0,14,5,5,2,1,35,35,14,7,13.69675386933297,13.68256450351837,13.61933946203609,13.60914534567229,14.20328450954283,5,66,2,17:45,4,a,k,yaz,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ESTERGON(7) KG  DB  SK  ,307560,19/06/2019,Elazığ,9. Koşu:21:30,H.ALTUNKILIÇ,H.ALTUNKILIÇ,True,1,5y d a,131.23,28.4,2840,14,1.0,15,6,13,10,10,10,10,30,14.0,9.0,10.0,11.0,6.0,47,7,3,2,6,14,6,4,12,13.71637582869771,13.36052316995992,13.26722994204315,14.17910447761194,14.21942822930699,14,13,9,21:30,5,d,a,yaz,1,0,1,1,0,0,0,0,0,0,0,0,0,0
FERHATHAN(11) KG  K  DB  ,307562,19/06/2019,Elazığ,9. Koşu:21:30,H.DEMİRTAŞ,H.DEMİRTAŞ,True,1,5y a a,133.52,25.7,2570,16,1.0,13,19,0,6,8,7,8,21,16.0,12.0,10.0,11.0,2.0,56,5,5,8,7,8,8,14,12,13.48112642300779,14.68069488622462,14.2411501424115,15.11226252158895,15.34751151063363,16,0,9,21:30,5,a,a,yaz,1,1,1,0,0,0,0,0,0,0,0,0,0,0
KERKERE(5) KG  DB  SK  ,307563,19/06/2019,Elazığ,6. Koşu:20:00,R.DOĞAN,R.DOĞAN,True,1,3y a e,101.95,8.5,850,8,5.0,7,60,53,8,9,10,10,27,8.0,7.0,1.0,,,3,1,0,0,0,33,0,0,0,11.77047572339382,12.94498381877023,13.29080276448698,,,8,53,6,20:00,3,a,e,yaz,1,0,1,1,0,0,0,0,0,0,0,0,0,0
BANKAMATİK(1) SKG  SK  ,307576,19/06/2019,Elazığ,8. Koşu:21:00,KEMAL KURT,KEMAL KURT,True,1,3y a e,100.03,11.15,1115,9,3.0,7,60,46,6,7,8,8,21,9.0,12.0,11.0,,,3,0,0,0,0,0,0,0,0,11.9964010796761,12.0785103170609,,,,9,46,8,21:00,3,a,e,yaz,0,0,0,1,1,0,0,0,0,0,0,0,0,0
ARDALI(7) KG    ,307623,19/06/2019,Elazığ,5. Koşu:19:30,H.ALTUNKILIÇ,H.ALTUNKILIÇ,True,1,5y d a,154.37,16.1,1610,10,2.0,9,46,40,10,10,10,10,30,10.0,8.0,4.0,8.0,5.0,32,4,7,6,1,12,21,18,3,12.95588521085703,,15.09493922300786,14.51077943615257,14.93811352966282,10,40,5,19:30,5,d,a,yaz,1,0,0,0,0,0,0,0,0,0,0,0,0,0
